INT	INT	INT	INT	STRING	INT	STRING	STRING
100323	3	1152	-1	╬ев╙лЛоийч	-1	#e96491f#gFF0FA0	#YнРпт║╒вйжй#GлЛобнчк╚#Yё╛ЁиЁ╓#GЁ╛╥╡мякв#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100324	3	1252	-1	╬ев╙лЛиЯйч	-1	#e96491f#gFF0FA0	#YнРпт#GлЛобнчк╚#Yё╛ЁиЁ╓#GЁ╛╥╡мякв#Yё╛вйжй#GуП╧ек╦╫Я#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100330	3	963	-1	╬ев╙т╙йч	-1	#e96491f#gFF0FA0	#YнРпт║╒ЁиЁ╓#GлЛобнчк╚#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100331	3	1063	-1	╬ев╙т╙Linh ThЗ	-1	#e96491f#gFF0FA0	#YнРпт║╒ЁиЁ╓#GлЛобнчк╚#Yё╛вйжй#Gв©╤Ш╡╩х╨#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100332	3	1163	-1	╬ев╙т╙й╔йч	-1	#e96491f#gFF0FA0	#YнРпт║╒ЁиЁ╓#GлЛобнчк╚#Yё╛вйжй#GЁ╛╥╡мякв#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100333	3	1263	-1	╬ев╙т╙оийч	-1	#e96491f#gFF0FA0	#YнРпт║╒ЁиЁ╓║╒вйжй#GлЛобнчк╚#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100334	3	1363	-1	╬ев╙т╙иЯйч	-1	#e96491f#gFF0FA0	#YнРпт║╒ЁиЁ╓#GлЛобнчк╚#Yё╛вйжй#GуП╧ек╦╫Я#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100340	3	1074	-1	╬ев╙Ё╛йч	-1	#e96491f#gFF0FA0	#YнРпт#GлЛобнчк╚#Yё╛ЁиЁ╓#GуП╧ек╦╫Я#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100341	3	1174	-1	╬ев╙Ё╛Linh ThЗ	-1	#e96491f#gFF0FA0	#YнРпт#GлЛобнчк╚#Yё╛ЁиЁ╓#GуП╧ек╦╫Я#Yё╛вйжй#Gв©╤Ш╡╩х╨#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100342	3	1274	-1	╬ев╙Ё╛й╔йч	-1	#e96491f#gFF0FA0	#YнРпт#GлЛобнчк╚#Yё╛ЁиЁ╓#GуП╧ек╦╫Я#Yё╛вйжй#GЁ╛╥╡мякв#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100343	3	1374	-1	╬ев╙Ё╛оийч	-1	#e96491f#gFF0FA0	#YнРпт║╒вйжй#GлЛобнчк╚#Yё╛ЁиЁ╓#GуП╧ек╦╫Я#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100344	3	1474	-1	╬ев╙Ё╛иЯйч	-1	#e96491f#gFF0FA0	#YнРпт#GлЛобнчк╚#Yё╛ЁиЁ╓║╒вйжй#GуП╧ек╦╫Я#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100400	3	840	-1	╩ЛЦГйч	-1	#e96491f#gFF0FA0	#YнРпт#GуП╧ек╦╫Я#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100401	3	940	-1	╩ЛЦГLinh ThЗ	-1	#e96491f#gFF0FA0	#YнРпт#GуП╧ек╦╫Я#Yё╛вйжй#Gв©╤Ш╡╩х╨#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100402	3	1040	-1	╩ЛЦГй╔йч	-1	#e96491f#gFF0FA0	#YнРпт#GуП╧ек╦╫Я#Yё╛вйжй#GЁ╛╥╡мякв#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100403	3	1140	-1	╩ЛЦГоийч	-1	#e96491f#gFF0FA0	#YнРпт#GуП╧ек╦╫Я#Yё╛вйжй#GлЛобнчк╚#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100404	3	1240	-1	╩ЛЦГиЯйч	-1	#e96491f#gFF0FA0	#YнРпт║╒вйжй#GуП╧ек╦╫Я#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100410	3	951	-1	╩ЛЦГ╣ьйч	-1	#e96491f#gFF0FA0	#YнРпт#GуП╧ек╦╫Я#Yё╛ЁиЁ╓#Gв©╤Ш╡╩х╨#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100411	3	1051	-1	╩ЛЦГ╣ьLinh ThЗ	-1	#e96491f#gFF0FA0	#YнРпт#GуП╧ек╦╫Я#Yё╛ЁиЁ╓║╒вйжй#Gв©╤Ш╡╩х╨#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100412	3	1151	-1	╩ЛЦГ╣ьй╔йч	-1	#e96491f#gFF0FA0	#YнРпт#GуП╧ек╦╫Я#Yё╛ЁиЁ╓#Gв©╤Ш╡╩х╨#Yё╛вйжй#GЁ╛╥╡мякв#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100413	3	1251	-1	╩ЛЦГ╣ьоийч	-1	#e96491f#gFF0FA0	#YнРпт#GуП╧ек╦╫Я#Yё╛ЁиЁ╓#Gв©╤Ш╡╩х╨#Yё╛вйжй#GлЛобнчк╚#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100414	3	1351	-1	╩ЛЦГ╣ьиЯйч	-1	#e96491f#gFF0FA0	#YнРпт║╒вйжй#GуП╧ек╦╫Я#Yё╛ЁиЁ╓#Gв©╤Ш╡╩х╨#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100420	3	1062	-1	╩ЛЦГлЛйч	-1	#e96491f#gFF0FA0	#YнРпт#GуП╧ек╦╫Я#Yё╛ЁиЁ╓#GЁ╛╥╡мякв#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100421	3	1162	-1	╩ЛЦГлЛLinh ThЗ	-1	#e96491f#gFF0FA0	#YнРпт#GуП╧ек╦╫Я#Yё╛ЁиЁ╓#GЁ╛╥╡мякв#Yё╛вйжй#Gв©╤Ш╡╩х╨#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100422	3	1262	-1	╩ЛЦГлЛй╔йч	-1	#e96491f#gFF0FA0	#YнРпт#GуП╧ек╦╫Я#Yё╛ЁиЁ╓║╒вйжй#GЁ╛╥╡мякв#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100423	3	1362	-1	╩ЛЦГлЛоийч	-1	#e96491f#gFF0FA0	#YнРпт#GуП╧ек╦╫Я#Yё╛ЁиЁ╓#GЁ╛╥╡мякв#Yё╛вйжй#GлЛобнчк╚#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100424	3	1462	-1	╩ЛЦГлЛиЯйч	-1	#e96491f#gFF0FA0	#YнРпт║╒вйжй#GуП╧ек╦╫Я#Yё╛ЁиЁ╓#GЁ╛╥╡мякв#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100430	3	1173	-1	╩ЛЦГт╙йч	-1	#e96491f#gFF0FA0	#YнРпт#GуП╧ек╦╫Я#Yё╛ЁиЁ╓#GлЛобнчк╚#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100431	3	1273	-1	╩ЛЦГт╙Linh ThЗ	-1	#e96491f#gFF0FA0	#YнРпт#GуП╧ек╦╫Я#Yё╛ЁиЁ╓#GлЛобнчк╚#Yё╛вйжй#Gв©╤Ш╡╩х╨#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100432	3	1373	-1	╩ЛЦГт╙й╔йч	-1	#e96491f#gFF0FA0	#YнРпт#GуП╧ек╦╫Я#Yё╛ЁиЁ╓#GлЛобнчк╚#Yё╛вйжй#GЁ╛╥╡мякв#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100433	3	1473	-1	╩ЛЦГт╙оийч	-1	#e96491f#gFF0FA0	#YнРпт#GуП╧ек╦╫Я#Yё╛ЁиЁ╓║╒вйжй#GлЛобнчк╚#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100434	3	1573	-1	╩ЛЦГт╙иЯйч	-1	#e96491f#gFF0FA0	#YнРпт║╒вйжй#GуП╧ек╦╫Я#Yё╛ЁиЁ╓#GлЛобнчк╚#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100440	3	1284	-1	╩ЛЦГЁ╛йч	-1	#e96491f#gFF0FA0	#YнРпт║╒ЁиЁ╓#GуП╧ек╦╫Я#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100441	3	1384	-1	╩ЛЦГЁ╛Linh ThЗ	-1	#e96491f#gFF0FA0	#YнРпт║╒ЁиЁ╓#GуП╧ек╦╫Я#Yё╛вйжй#Gв©╤Ш╡╩х╨#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100442	3	1484	-1	╩ЛЦГЁ╛й╔йч	-1	#e96491f#gFF0FA0	#YнРпт║╒ЁиЁ╓#GуП╧ек╦╫Я#Yё╛вйжй#GЁ╛╥╡мякв#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100443	3	1584	-1	╩ЛЦГЁ╛оийч	-1	#e96491f#gFF0FA0	#YнРпт║╒ЁиЁ╓#GуП╧ек╦╫Я#Yё╛вйжй#GлЛобнчк╚#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100444	3	1684	-1	╩ЛЦГЁ╛иЯйч	-1	#e96491f#gFF0FA0	#YнРпт║╒ЁиЁ╓║╒вйжй#GуП╧ек╦╫Я#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
